player_age,player_height_cm,player_weight_kg,training_hours_per_week,years_of_experience,injury_history,matches_played,average_score_per_game,assists_per_game,rebounds_per_game,steals_per_game,blocks_per_game,turnovers_per_game,field_goal_percentage,free_throw_percentage,three_point_percentage,sprint_speed_mps,vertical_jump_cm,bench_press_kg,team_rank,match_outcome
24,170,75,6.9902539526495,11,0,24,12.098431656045582,0.8350159491882705,8.35863530188918,0.7540960898538036,1.0833425361128124,1.9162255029791488,0.34238502644561636,0.5706072818003032,0.324018062355543,7.43870280697366,43.83497216161703,72.14667792118793,12,0
37,182,76,10.23975647487164,12,1,142,10.486909614962421,3.136216969894705,4.199858129009222,1.9892340149847834,0.6298226046161717,3.2121923870470526,0.5147808201595441,0.8255595867833815,0.3360395573122409,7.5161910714895335,60.31926386379655,95.79907821415671,15,0
32,188,87,12.414566369972436,3,0,183,7.949416280222163,4.122351035412736,1.4521123026493399,1.4870373265767354,1.303673762262581,2.3266516682398635,0.44828407719986174,0.6460798140321246,0.25544048209825004,6.860728694546234,43.407682317878965,90.02151464955712,8,1
28,176,75,5.493264751799845,6,1,33,14.558218578661393,2.7701015610387585,5.837472878023276,1.3498823129401174,0.7030875593418674,2.9177234334683195,0.5469199961687305,0.5412120295464614,0.4027569570871714,6.990292223014155,54.19876128184661,76.28782576137903,1,1
25,185,85,9.020505689769525,16,1,11,10.405846034492683,4.603737203822721,5.579791430514589,1.706358594439781,0.6648607197346528,3.3399271997446043,0.3827748800153377,0.687961912598325,0.27928713498433916,8.777144762036567,44.51094563602606,87.60547689688725,8,0
38,166,66,13.934508403515768,12,0,196,10.366587993514685,2.90651253743216,5.3858245058644405,1.6471568880559533,0.7410221345505488,3.9863483029168174,0.4019231576284074,0.6954767705177446,0.29647849592011477,9.265104157564434,60.482340444377506,81.3503447871705,12,1
24,166,58,9.859468718237784,20,1,173,-2.443468537836374,4.044039175997233,3.2535737495765136,0.2204606554520746,0.9756503000436738,3.6249849523471607,0.44359320988971995,0.8770120020858683,0.34693416975390323,7.1863434998224225,69.93582279202384,84.39992702638105,25,1
36,175,61,18.05788160529889,6,0,54,14.099759936982094,2.833909172064342,6.2454581060393695,0.34751898615199983,1.2338459042228045,4.360488863272556,0.5119759154128813,0.5352257821106011,0.4956888063990283,6.074691121748139,51.92103469108637,90.95712036558741,20,1
28,185,69,19.05148128078823,20,0,104,9.147331707612729,3.5690208282165776,2.804392484281531,1.1282867849425566,0.9072597638739129,4.463783372303609,0.5583180947102147,0.5983442854058225,0.33473280218133705,5.771935416858225,53.34689953886877,86.68627995384355,4,0
28,187,76,11.623142981745858,14,0,103,13.774661999047405,4.302188607062167,6.587294453396798,0.6628674697300563,1.441036608134604,3.1205472474224845,0.5862359600957326,0.8268850412644372,0.25106923941094533,7.605320564992011,70.3641397658523,72.06606286464927,8,1
38,168,82,12.980307131243332,9,0,132,18.22480665423951,1.3793782569682707,6.7692134318641655,2.02982275616436,0.5534362362621276,2.645044669098965,0.3144808433902936,0.605739094992392,0.3983965534785383,8.409328694354398,58.39867383593383,89.16381788561944,15,1
21,187,81,14.462124024665147,17,1,46,14.116832857986482,3.9709754507853203,4.8715162671418195,0.704616084184891,0.7386838846091025,2.2648133821637986,0.5536413323563463,0.8704495513007899,0.26202970320048485,8.199959841987399,54.22280415947764,82.66850209014457,5,1
25,181,75,14.968024491421847,12,0,127,10.270756632158232,4.581465448803152,2.071363270280244,1.2460313118210338,0.46758784666612974,1.8035893303883426,0.3377576745139163,0.6390286611291713,0.46603887433311025,7.787194224186771,66.2150255032678,77.37640447656972,27,0
20,171,58,5.948869166007269,1,1,194,8.567864424546052,6.285581644161674,6.604991402484334,1.49153232889249,0.648819022514668,0.7710726883632599,0.5947253240381707,0.8327664262504082,0.41796170115864495,6.989680016053726,62.69869122512291,80.78655512697834,5,1
39,166,85,5.805191453992393,20,1,94,22.628615961331597,3.106727717783447,3.8328743854159204,2.4221004041795746,0.6019532813766542,1.9949938895872936,0.3132462894166259,0.7627570477666765,0.218670052388532,6.034953994937882,52.63483210306131,94.99642027982783,10,1
38,182,52,17.98381511371631,8,0,149,12.416926569043254,-0.1488093827695276,5.548718744456019,1.7746611730379938,0.35993924823435874,3.6621566759086646,0.39363082294083074,0.6070870764198183,0.2830687881408373,8.05156562765524,65.35007769145594,65.056032928996,13,1
19,192,57,8.298080701890331,12,0,131,11.048150440765363,0.32874495209838894,6.381544101161008,0.8694129690505941,1.0805634813625637,1.7127896590880785,0.5997175292708724,0.7044733918468693,0.29010562360300685,6.096209621864677,39.987847915349484,58.11282467721753,21,0
29,180,75,13.761582544157124,16,1,172,9.085300604039322,1.6692655497141773,3.380683564024517,1.462368864300079,0.9774672042710614,3.910988752600212,0.37447167173464024,0.6520424331766634,0.46002791833285706,6.625013423220376,59.556838574491366,76.00475324533535,4,0
23,170,86,14.370077217704129,1,1,159,5.517216178479776,4.923633149178073,9.291398084453368,1.5491643026292068,0.6800467834653192,2.4709806554424056,0.5566467550939307,0.8646444119482173,0.44714875792240066,6.019531720481343,55.615234270344274,68.43595136673117,15,1
19,161,84,7.466964161003611,3,0,126,0.24656583487211137,6.295129680203987,4.912245223449248,1.510979267603799,0.8963047486295843,3.604868908293982,0.550287056486375,0.8778144001056679,0.45909126167230646,5.514745524373883,52.08473252840189,82.82538747694123,9,0
38,195,73,16.423949401544746,12,1,81,17.605881453775897,2.390320171842352,3.658517061724546,0.7097443295781405,0.6759965500369014,3.559522128783388,0.37935724610459354,0.8988865187512379,0.4993735265156308,5.899971871200914,46.69713012169383,60.54882811091402,13,1
18,190,81,17.989184274465064,4,0,164,6.103084665700223,3.0798776104049597,6.998863709551559,2.215899690172523,0.7327362870129046,1.848018205502612,0.45127536866450796,0.8509494523968502,0.3688724871904927,5.938349558334869,63.09638962906135,65.03057791092608,7,1
29,183,59,9.280665219765469,10,1,109,9.048422235750403,-0.8718644544677341,8.0997145161737,0.5879348018369074,0.9517487545692159,4.258969518234622,0.32305182146832134,0.869469708239359,0.21935307480611643,7.012174876940411,72.12328801587235,99.48199220750656,12,0
39,194,66,18.167602713851558,2,1,16,9.469707618567098,3.9770515602291177,0.8665093288774681,1.540103952887079,0.7949352232962228,4.396435551880954,0.3408331171017435,0.7549232877654974,0.35819045056006926,6.450271370720546,55.99056596213974,86.08514744121824,22,0
29,182,66,6.215557531468469,9,1,12,17.16553965272761,3.2016218757565404,2.2377239397566537,0.7588892300604779,0.8050852947072028,3.0779707497703948,0.40779662646357406,0.692948343023955,0.35466262434526186,8.567892267634495,49.612478308927805,83.92694735415134,8,1
34,174,60,17.006958893108553,3,0,13,6.168540472561417,2.624953672235841,3.4487937326485483,1.3953785539121135,0.22643672135794612,0.2710968681598449,0.5717747728599817,0.7446769424669826,0.3440390471726593,6.171786673680052,54.97391063086661,84.97155084448008,23,1
