customer_id,gender,address
1,Male,"Dallas,Tax"
2,Female,"San Diego,California"
3,Male,"Phoenix,Arizona"
4,Non-Binary,"Chicago,Illinois"
5,Male,"Philadelphia,Pennsylvania"
6,Male,"Phoenix,Arizona"
7,Non-Binary,"San Diego,California"
8,Female,"Houston,Tax"
9,Male,"Phoenix,Arizona"
10,Male,"Philadelphia,Pennsylvania"
11,Male,"San Jose,California"
12,Male,"Philadelphia,Pennsylvania"
13,Male,"Chicago,Illinois"
14,Female,"San Diego,California"
15,Female,"San Antonio,Tax"
16,Male,"Chicago,Illinois"
17,Male,"San Jose,California"
18,Male,"San Jose,California"
19,Male,"Dallas,Tax"
20,Male,"San Jose,California"
21,Female,"Houston,Tax"
22,Male,"San Diego,California"
23,Male,"Dallas,Tax"
24,Non-Binary,"San Antonio,Tax"
25,Female,"Phoenix,Arizona"
26,Female,"Los Angeles,California"
27,Non-Binary,"Phoenix,Arizona"
28,Male,"San Antonio,Tax"
29,Male,"San Jose,California"
30,Non-Binary,"San Jose,California"
31,Female,"Phoenix,Arizona"
32,Male,"Dallas,Tax"
33,Female,"Chicago,Illinois"
34,Male,"Dallas,Tax"
35,Female,"Philadelphia,Pennsylvania"
36,Female,"New York,New York"
37,Male,"San Diego,California"
38,Male,"Houston,Tax"
39,Female,"Dallas,Tax"
40,Female,"San Antonio,Tax"
41,Non-Binary,"New York,New York"
42,Non-Binary,"Phoenix,Arizona"
43,Male,"Dallas,Tax"
44,Male,"Chicago,Illinois"
45,Male,"Houston,Tax"
46,Female,"Dallas,Tax"
47,Male,"Los Angeles,California"
48,Non-Binary,"Philadelphia,Pennsylvania"
49,Female,"Chicago,Illinois"
50,Non-Binary,"San Jose,California"
51,Male,"Dallas,Tax"
52,Female,"Phoenix,Arizona"
53,Male,"New York,New York"
54,Female,"Houston,Tax"
55,Female,"Philadelphia,Pennsylvania"
56,Female,"San Jose,California"
57,Female,"Los Angeles,California"
58,Female,"Philadelphia,Pennsylvania"
59,Female,"San Diego,California"
60,Male,"Philadelphia,Pennsylvania"
61,Female,"Dallas,Tax"
62,Female,"Philadelphia,Pennsylvania"
63,Female,"San Jose,California"
64,Female,"San Antonio,Tax"
65,Non-Binary,"Philadelphia,Pennsylvania"
66,Male,"Phoenix,Arizona"
67,Non-Binary,"Philadelphia,Pennsylvania"
68,Female,"Houston,Tax"
69,Female,"Philadelphia,Pennsylvania"
70,Male,"Chicago,Illinois"
71,Female,"Los Angeles,California"
72,Male,"Los Angeles,California"
73,Male,"San Antonio,Tax"
74,Female,"San Antonio,Tax"
75,Female,"Phoenix,Arizona"
76,Male,"New York,New York"
77,Female,"San Diego,California"
78,Male,"Dallas,Tax"
79,Female,"San Jose,California"
80,Female,"Dallas,Tax"
81,Female,"Dallas,Tax"
82,Male,"San Jose,California"
83,Male,"Philadelphia,Pennsylvania"
84,Female,"Houston,Tax"
85,Male,"San Diego,California"
86,Female,"Chicago,Illinois"
87,Female,"Dallas,Tax"
88,Female,"Dallas,Tax"
89,Male,"Dallas,Tax"
90,Male,"Philadelphia,Pennsylvania"
91,Female,"San Jose,California"
92,Male,"Philadelphia,Pennsylvania"
93,Female,"Phoenix,Arizona"
94,Male,"San Antonio,Tax"
95,Female,"San Jose,California"
96,Non-Binary,"San Jose,California"
97,Male,"San Diego,California"
98,Male,"New York,New York"
99,Male,"San Antonio,Tax"
100,Male,"Phoenix,Arizona"
101,Female,"San Antonio,Tax"
102,Male,"Dallas,Tax"
103,Non-Binary,"Chicago,Illinois"
104,Female,"San Diego,California"
105,Male,"Los Angeles,California"
106,Male,"Chicago,Illinois"
107,Female,"San Diego,California"
108,Male,"Houston,Tax"
109,Non-Binary,"Dallas,Tax"
110,Male,"Los Angeles,California"
111,Female,"Los Angeles,California"
112,Female,"San Antonio,Tax"
113,Male,"New York,New York"
114,Male,"Philadelphia,Pennsylvania"
115,Male,"San Jose,California"
116,Male,"Philadelphia,Pennsylvania"
117,Male,"San Antonio,Tax"
118,Male,"New York,New York"
119,Female,"San Antonio,Tax"
120,Female,"San Antonio,Tax"
121,Female,"Philadelphia,Pennsylvania"
122,Female,"Houston,Tax"
123,Male,"Houston,Tax"
124,Male,"San Jose,California"
125,Male,"New York,New York"
126,Female,"New York,New York"
127,Male,"San Jose,California"
128,Male,"Los Angeles,California"
129,Female,"Los Angeles,California"
130,Male,"Chicago,Illinois"
131,Female,"Dallas,Tax"
132,Non-Binary,"San Jose,California"
133,Male,"New York,New York"
134,Non-Binary,"Phoenix,Arizona"
135,Female,"Los Angeles,California"
136,Female,"Chicago,Illinois"
137,Male,"Chicago,Illinois"
138,Female,"San Antonio,Tax"
139,Female,"Houston,Tax"
140,Male,"Los Angeles,California"
141,Male,"Philadelphia,Pennsylvania"
142,Male,"New York,New York"
143,Female,"Los Angeles,California"
144,Male,"San Jose,California"
145,Female,"Los Angeles,California"
146,Female,"Houston,Tax"
147,Male,"San Diego,California"
148,Non-Binary,"Dallas,Tax"
149,Male,"San Jose,California"
150,Male,"Los Angeles,California"
151,Female,"San Antonio,Tax"
152,Male,"San Jose,California"
153,Female,"New York,New York"
154,Male,"San Antonio,Tax"
155,Female,"Dallas,Tax"
156,Female,"Houston,Tax"
157,Female,"Chicago,Illinois"
158,Male,"Philadelphia,Pennsylvania"
159,Female,"Phoenix,Arizona"
160,Female,"Los Angeles,California"
161,Female,"Phoenix,Arizona"
162,Female,"Phoenix,Arizona"
163,Male,"Philadelphia,Pennsylvania"
164,Non-Binary,"Philadelphia,Pennsylvania"
165,Male,"Houston,Tax"
166,Male,"Houston,Tax"
167,Female,"Dallas,Tax"
168,Male,"Chicago,Illinois"
169,Female,"Philadelphia,Pennsylvania"
170,Non-Binary,"New York,New York"
171,Male,"San Diego,California"
172,Male,"Houston,Tax"
173,Male,"New York,New York"
174,Male,"Chicago,Illinois"
175,Female,"Chicago,Illinois"
176,Male,"San Jose,California"
177,Female,"Houston,Tax"
178,Non-Binary,"Chicago,Illinois"
179,Non-Binary,"Houston,Tax"
180,Female,"San Jose,California"
181,Female,"San Antonio,Tax"
182,Female,"San Antonio,Tax"
183,Female,"San Diego,California"
184,Male,"Houston,Tax"
185,Male,"Phoenix,Arizona"
186,Female,"San Antonio,Tax"
187,Male,"New York,New York"
188,Male,"Los Angeles,California"
189,Male,"Houston,Tax"
190,Male,"Chicago,Illinois"
191,Non-Binary,"San Antonio,Tax"
192,Non-Binary,"Houston,Tax"
193,Male,"Dallas,Tax"
194,Female,"Philadelphia,Pennsylvania"
195,Male,"Phoenix,Arizona"
196,Non-Binary,"Phoenix,Arizona"
197,Male,"San Diego,California"
198,Non-Binary,"Phoenix,Arizona"
199,Female,"San Antonio,Tax"
200,Female,"New York,New York"
201,Female,"Phoenix,Arizona"
202,Female,"Chicago,Illinois"
203,Male,"Los Angeles,California"
204,Female,"Philadelphia,Pennsylvania"
205,Male,"Phoenix,Arizona"
206,Male,"Philadelphia,Pennsylvania"
207,Male,"San Diego,California"
208,Male,"Dallas,Tax"
209,Female,"Phoenix,Arizona"
210,Male,"Houston,Tax"
211,Male,"Phoenix,Arizona"
212,Female,"Dallas,Tax"
213,Male,"Dallas,Tax"
214,Male,"Dallas,Tax"
215,Male,"Los Angeles,California"
216,Female,"San Jose,California"
217,Female,"San Antonio,Tax"
218,Female,"New York,New York"
219,Female,"San Diego,California"
220,Male,"San Jose,California"
221,Male,"Phoenix,Arizona"
222,Female,"San Antonio,Tax"
223,Female,"Houston,Tax"
224,Male,"Chicago,Illinois"
225,Male,"San Diego,California"
226,Female,"New York,New York"
227,Male,"Dallas,Tax"
228,Male,"Philadelphia,Pennsylvania"
229,Non-Binary,"New York,New York"
230,Male,"Los Angeles,California"
231,Female,"San Antonio,Tax"
232,Female,"Dallas,Tax"
233,Male,"Chicago,Illinois"
234,Male,"San Jose,California"
235,Female,"Los Angeles,California"
236,Male,"Dallas,Tax"
237,Male,"Houston,Tax"
238,Female,"New York,New York"
239,Male,"Chicago,Illinois"
240,Non-Binary,"Phoenix,Arizona"
241,Male,"San Diego,California"
242,Female,"Dallas,Tax"
243,Female,"Los Angeles,California"
244,Female,"Philadelphia,Pennsylvania"
245,Male,"San Antonio,Tax"
246,Non-Binary,"Houston,Tax"
247,Female,"Dallas,Tax"
248,Female,"Chicago,Illinois"
249,Male,"New York,New York"
250,Female,"New York,New York"
251,Non-Binary,"San Antonio,Tax"
252,Female,"Philadelphia,Pennsylvania"
253,Male,"San Jose,California"
254,Non-Binary,"San Jose,California"
255,Male,"San Jose,California"
